clinician_id,clinician_code,provider_id,role,specialty,grade_band,sex,ethnicity_ons,fte,start_date,end_date,is_active
49,CLN000049,2,Staff Nurse,Primary Care,Band 6,M,White,0.81,2015-03-14,2019-12-26,False
50,CLN000050,2,Registrar,Respiratory,Band 8a,M,White,0.9,2008-07-23,,True
51,CLN000051,2,Registrar,Primary Care,Band 6,F,White,0.92,2011-11-11,,True
52,CLN000052,2,Radiologist,Emergency Medicine,GP Partner,F,White,0.68,2009-10-22,,True
53,CLN000053,2,Consultant,Mental Health,Band 7,M,Black,0.9,2020-08-02,,True
54,CLN000054,2,Physiotherapist,Radiology,GP Partner,F,Mixed,0.42,2013-01-27,2018-02-01,False
55,CLN000055,2,Staff Nurse,Geriatrics,GP Partner,F,White,0.63,2010-12-18,,True
56,CLN000056,2,Registrar,Emergency Medicine,Band 8a,F,Mixed,0.76,2022-01-04,,True
57,CLN000057,2,Staff Nurse,Radiology,Band 6,M,White,0.99,2022-02-03,,True
58,CLN000058,2,Registrar,Respiratory,GP Partner,M,Black,0.56,2010-11-05,,True
59,CLN000059,2,Staff Nurse,Emergency Medicine,Band 8a,F,White,0.73,2013-03-20,2014-12-18,False
60,CLN000060,2,Registrar,Emergency Medicine,Band 8a,F,Black,0.75,2019-12-09,,True
61,CLN000061,2,Radiologist,Emergency Medicine,Band 7,F,White,0.87,2017-05-04,,True
62,CLN000062,2,Radiologist,General Medicine,ST3,F,White,0.61,2014-09-12,,True
63,CLN000063,2,Radiologist,Emergency Medicine,Band 5,M,White,0.75,2020-10-22,,True
64,CLN000064,2,Registrar,Diabetes,Band 5,M,White,0.44,2018-03-22,,True
65,CLN000065,2,Radiologist,Primary Care,ST3,F,White,0.94,2012-03-09,,True
66,CLN000066,2,Radiologist,General Medicine,Consultant,F,White,0.55,2008-01-23,,True
67,CLN000067,2,Consultant,Diabetes,Band 5,M,White,0.83,2021-07-07,2023-12-10,False
68,CLN000068,2,Staff Nurse,Geriatrics,Band 5,M,White,0.48,2009-11-26,2022-08-07,False
69,CLN000069,2,Radiologist,Geriatrics,Band 6,F,White,0.51,2018-09-02,2020-10-05,False
70,CLN000070,2,Radiologist,Mental Health,ST3,M,White,0.54,2010-02-18,,True
71,CLN000071,2,Staff Nurse,Diabetes,ST3,F,White,0.41,2016-10-20,,True
72,CLN000072,2,Physiotherapist,Primary Care,ST3,F,White,0.95,2013-01-20,2022-07-08,False
73,CLN000073,2,Physiotherapist,Radiology,Band 6,F,White,0.94,2014-11-05,,True
74,CLN000074,2,Consultant,Radiology,GP Partner,F,White,0.86,2008-02-08,,True
75,CLN000075,2,Radiologist,General Medicine,GP Partner,M,White,0.64,2020-03-12,,True
76,CLN000076,2,Consultant,Diabetes,Band 7,M,White,0.7,2011-02-21,,True
77,CLN000077,2,Consultant,Mental Health,Band 8a,F,White,0.78,2010-07-19,,True
78,CLN000078,2,Registrar,Cardiology,Consultant,M,White,0.57,2021-03-06,,True
79,CLN000079,2,Registrar,Respiratory,ST3,F,White,0.53,2016-09-14,,True
80,CLN000080,2,Registrar,Mental Health,Band 7,F,White,0.97,2013-10-01,,True
81,CLN000081,2,Physiotherapist,Mental Health,Band 6,M,White,0.42,2021-03-01,,True
82,CLN000082,2,Registrar,General Medicine,GP Partner,F,White,0.73,2008-05-24,,True
83,CLN000083,2,Staff Nurse,Primary Care,GP Partner,F,White,0.82,2020-10-03,,True
84,CLN000084,2,Radiologist,Diabetes,Band 5,F,Mixed,0.57,2011-02-21,,True
85,CLN000085,3,Healthcare Assistant,Geriatrics,GP Partner,F,White,0.44,2017-05-20,,True
86,CLN000086,3,GP Partner,Mental Health,Consultant,F,White,0.59,2009-10-12,,True
87,CLN000087,3,Healthcare Assistant,Physiotherapy,Band 5,F,White,0.92,2022-08-01,,True
88,CLN000088,3,Salaried GP,General Medicine,ST3,M,White,0.66,2011-04-11,,True
89,CLN000089,3,Healthcare Assistant,Emergency Medicine,ST3,M,White,0.59,2017-07-21,,True
90,CLN000090,3,Practice Nurse,Mental Health,ST3,M,White,0.98,2013-02-14,2016-02-18,False
91,CLN000091,3,Healthcare Assistant,Radiology,Band 7,F,White,0.73,2016-12-27,,True
92,CLN000092,3,GP Partner,Primary Care,Band 6,M,White,0.83,2012-12-09,,True
93,CLN000093,3,Salaried GP,Diabetes,Band 5,M,White,0.97,2018-11-21,,True
94,CLN000094,3,Healthcare Assistant,Emergency Medicine,ST3,M,White,0.47,2022-10-23,,True
95,CLN000095,4,Healthcare Assistant,Radiology,Band 6,F,White,0.46,2013-09-21,,True
96,CLN000096,4,Practice Nurse,Emergency Medicine,Band 8a,F,White,0.52,2021-02-06,,True
97,CLN000097,4,Practice Nurse,Cardiology,Band 7,F,Asian,0.52,2010-03-08,2017-05-08,False
98,CLN000098,4,Salaried GP,Diabetes,ST3,M,Asian,0.46,2014-04-20,2023-09-01,False
99,CLN000099,4,Salaried GP,Radiology,Band 5,F,White,0.6,2008-12-24,,True
100,CLN000100,4,GP Partner,General Medicine,Band 6,F,White,0.47,2020-07-04,2023-08-16,False
101,CLN000101,4,Healthcare Assistant,Mental Health,ST3,F,White,0.97,2017-11-02,,True
102,CLN000102,4,Practice Nurse,General Medicine,GP Partner,F,White,0.42,2012-10-05,2022-02-17,False
103,CLN000103,4,GP Partner,Radiology,ST3,M,White,0.61,2019-05-20,,True
104,CLN000104,4,GP Partner,Radiology,Band 6,F,White,0.88,2018-11-13,,True
105,CLN000105,5,Salaried GP,General Medicine,ST3,M,White,0.56,2017-09-04,,True
106,CLN000106,5,Salaried GP,Cardiology,ST3,F,Mixed,0.71,2019-12-05,,True
107,CLN000107,5,Practice Nurse,Geriatrics,GP Partner,M,White,0.87,2020-05-19,,True
108,CLN000108,5,Practice Nurse,Primary Care,Consultant,F,White,0.73,2014-02-03,,True
109,CLN000109,5,Salaried GP,Radiology,Band 6,M,White,0.44,2019-06-17,,True
110,CLN000110,5,Healthcare Assistant,Mental Health,Band 6,F,White,0.41,2012-05-03,,True
111,CLN000111,5,Practice Nurse,Physiotherapy,Band 6,F,Black,0.84,2015-11-04,,True
112,CLN000112,5,GP Partner,General Medicine,Consultant,F,White,0.64,2015-01-03,,True
113,CLN000113,5,Healthcare Assistant,General Medicine,Band 7,F,White,0.64,2022-04-16,,True
114,CLN000114,5,Practice Nurse,Geriatrics,Consultant,M,White,0.98,2009-09-05,2014-06-19,False
115,CLN000115,6,GP Partner,General Medicine,ST3,M,Asian,0.89,2022-10-10,,True
116,CLN000116,6,Healthcare Assistant,Primary Care,GP Partner,F,White,0.7,2017-07-21,,True
117,CLN000117,6,Healthcare Assistant,Mental Health,GP Partner,M,White,0.98,2015-10-05,,True
118,CLN000118,6,Healthcare Assistant,Primary Care,Band 7,F,White,0.41,2015-06-12,2016-09-10,False
119,CLN000119,6,Salaried GP,Radiology,Band 8a,M,Asian,0.63,2017-09-07,,True
120,CLN000120,6,Practice Nurse,Cardiology,ST3,F,White,0.54,2009-09-12,,True
121,CLN000121,6,GP Partner,Radiology,Band 7,F,White,0.42,2022-02-22,,True
122,CLN000122,6,GP Partner,Physiotherapy,Band 7,F,White,0.65,2016-07-27,,True
123,CLN000123,6,Healthcare Assistant,Cardiology,Consultant,M,White,0.66,2022-04-20,,True
124,CLN000124,6,Salaried GP,Emergency Medicine,Consultant,F,White,0.97,2010-07-03,2016-08-26,False
125,CLN000125,7,Practice Nurse,Cardiology,Band 8a,F,White,0.42,2011-04-23,,True
126,CLN000126,7,Healthcare Assistant,Emergency Medicine,Consultant,F,White,0.55,2016-07-25,,True
127,CLN000127,7,Practice Nurse,Diabetes,Band 7,F,Asian,0.57,2018-09-23,2021-03-22,False
128,CLN000128,7,Salaried GP,Physiotherapy,Band 5,F,White,0.84,2012-04-01,,True
129,CLN000129,7,Salaried GP,Geriatrics,Band 8a,F,Asian,0.79,2021-02-04,,True
130,CLN000130,7,GP Partner,Primary Care,Band 8a,F,Black,0.63,2013-10-10,,True
131,CLN000131,7,GP Partner,Emergency Medicine,ST3,F,White,0.47,2010-03-12,,True
132,CLN000132,7,Practice Nurse,Respiratory,Band 7,F,White,0.94,2010-06-13,,True
133,CLN000133,7,Practice Nurse,Radiology,Band 7,F,White,0.89,2008-12-15,,True
134,CLN000134,7,Salaried GP,Mental Health,Band 8a,M,Black,0.57,2013-09-14,,True
135,CLN000135,8,Salaried GP,Physiotherapy,Band 8a,M,White,0.68,2013-01-18,,True
136,CLN000136,8,Healthcare Assistant,General Medicine,Band 7,M,White,0.88,2011-01-26,,True
137,CLN000137,8,Healthcare Assistant,Cardiology,Consultant,F,White,0.6,2010-03-07,,True
138,CLN000138,8,GP Partner,General Medicine,Band 5,F,White,0.79,2020-05-12,,True
139,CLN000139,8,GP Partner,Primary Care,Consultant,F,White,0.84,2011-03-20,,True
140,CLN000140,8,GP Partner,Primary Care,Band 7,M,Black,0.78,2021-02-09,,True
141,CLN000141,8,Healthcare Assistant,Emergency Medicine,ST3,M,White,0.81,2010-01-19,,True
142,CLN000142,8,Salaried GP,General Medicine,GP Partner,F,Black,0.58,2013-11-21,,True
143,CLN000143,8,GP Partner,Geriatrics,Band 5,M,Other,0.65,2015-08-13,2022-11-05,False
144,CLN000144,8,Practice Nurse,Physiotherapy,ST3,F,Black,0.83,2008-04-07,,True
145,CLN000145,9,Practice Nurse,Cardiology,GP Partner,F,White,0.97,2010-07-23,,True
146,CLN000146,9,Salaried GP,Geriatrics,Consultant,F,White,0.62,2016-03-19,2020-07-15,False
147,CLN000147,9,Practice Nurse,Radiology,Band 5,F,White,0.41,2011-05-15,,True
148,CLN000148,9,Salaried GP,Mental Health,Band 6,F,White,0.42,2020-09-15,,True
149,CLN000149,9,Salaried GP,Geriatrics,Band 7,M,White,0.64,2011-04-06,,True
150,CLN000150,9,GP Partner,Respiratory,Band 6,F,Black,0.84,2019-02-24,2022-10-07,False
151,CLN000151,9,Salaried GP,Cardiology,Band 8a,F,Asian,0.74,2010-05-02,,True
152,CLN000152,9,Healthcare Assistant,Mental Health,Band 8a,M,White,0.78,2021-06-24,2022-09-03,False
153,CLN000153,9,Practice Nurse,Primary Care,Band 5,M,Mixed,0.73,2012-05-05,,True
154,CLN000154,9,Salaried GP,Physiotherapy,Consultant,F,White,0.61,2008-08-09,,True
155,CLN000155,10,Healthcare Assistant,Geriatrics,Band 8a,F,White,0.76,2015-04-14,,True
156,CLN000156,10,Practice Nurse,Diabetes,Band 7,M,Other,0.77,2008-01-19,,True
157,CLN000157,10,Salaried GP,Diabetes,Band 8a,F,Asian,0.48,2009-07-02,,True
158,CLN000158,10,Healthcare Assistant,Cardiology,Band 7,M,White,0.79,2014-05-02,2023-07-06,False
159,CLN000159,10,Healthcare Assistant,Radiology,Band 8a,F,White,0.96,2018-11-18,,True
160,CLN000160,10,Healthcare Assistant,Physiotherapy,ST3,M,White,0.68,2012-07-26,,True
161,CLN000161,10,Salaried GP,Mental Health,Band 8a,M,White,0.59,2011-12-03,,True
162,CLN000162,10,GP Partner,Emergency Medicine,ST3,F,White,0.66,2008-09-04,,True
163,CLN000163,10,GP Partner,Diabetes,Consultant,M,White,0.71,2019-06-05,,True
164,CLN000164,10,Practice Nurse,Radiology,ST3,F,White,0.66,2017-11-21,,True
165,CLN000165,11,Salaried GP,Respiratory,Band 6,F,White,0.63,2015-02-20,,True
166,CLN000166,11,GP Partner,Diabetes,Consultant,M,White,0.75,2021-10-14,,True
167,CLN000167,11,Salaried GP,Emergency Medicine,Band 7,M,White,1.0,2011-04-14,,True
168,CLN000168,11,Healthcare Assistant,Radiology,Band 6,M,White,0.86,2020-01-26,2023-11-15,False
169,CLN000169,11,Practice Nurse,Radiology,GP Partner,F,White,0.76,2017-10-02,,True
170,CLN000170,11,Healthcare Assistant,Cardiology,ST3,M,White,0.78,2015-04-11,2016-02-12,False
171,CLN000171,11,Salaried GP,Primary Care,ST3,M,White,0.49,2016-03-05,,True
172,CLN000172,11,Healthcare Assistant,Radiology,Band 7,M,Asian,0.73,2015-04-23,2021-01-25,False
173,CLN000173,11,Practice Nurse,Primary Care,GP Partner,M,White,0.77,2020-07-27,2022-05-21,False
174,CLN000174,11,GP Partner,Geriatrics,ST3,F,White,0.95,2013-09-22,,True
175,CLN000175,12,Healthcare Assistant,Cardiology,GP Partner,M,Asian,0.49,2014-10-02,,True
176,CLN000176,12,Salaried GP,Primary Care,Band 8a,F,White,0.91,2012-03-17,2023-09-27,False
177,CLN000177,12,Salaried GP,Mental Health,Band 6,M,White,0.63,2010-09-12,,True
178,CLN000178,12,Practice Nurse,Diabetes,ST3,M,White,0.59,2008-08-04,,True
179,CLN000179,12,GP Partner,Diabetes,Band 8a,M,Black,0.75,2018-02-08,,True
180,CLN000180,12,Salaried GP,Primary Care,Band 5,F,White,0.6,2021-02-13,,True
181,CLN000181,12,Salaried GP,Geriatrics,Consultant,M,Black,0.53,2010-08-19,,True
182,CLN000182,12,Healthcare Assistant,Physiotherapy,Band 8a,F,White,0.49,2008-10-19,,True
183,CLN000183,12,Practice Nurse,Primary Care,Band 7,F,White,0.48,2010-02-27,,True
184,CLN000184,12,Healthcare Assistant,Cardiology,Band 7,F,White,0.76,2008-10-21,,True
185,CLN000185,13,Healthcare Assistant,Cardiology,Band 5,F,Other,0.54,2011-03-01,2022-01-10,False
186,CLN000186,13,Salaried GP,Geriatrics,Consultant,M,White,0.44,2018-05-25,,True
187,CLN000187,13,Healthcare Assistant,Emergency Medicine,ST3,F,White,0.91,2015-09-21,2019-04-17,False
188,CLN000188,13,Healthcare Assistant,Mental Health,GP Partner,M,White,0.45,2008-11-02,,True
189,CLN000189,13,GP Partner,General Medicine,Band 8a,M,White,0.46,2021-07-25,,True
190,CLN000190,13,GP Partner,Emergency Medicine,GP Partner,M,Mixed,0.91,2013-08-25,,True
191,CLN000191,13,GP Partner,Cardiology,Consultant,F,Mixed,0.91,2021-04-13,,True
192,CLN000192,13,Healthcare Assistant,Radiology,Band 8a,F,Other,0.71,2015-01-08,,True
193,CLN000193,13,Salaried GP,Mental Health,ST3,M,White,0.8,2018-04-04,,True
194,CLN000194,13,Healthcare Assistant,General Medicine,Band 6,M,Other,0.62,2011-10-14,,True
195,CLN000195,14,GP Partner,Diabetes,GP Partner,M,White,0.91,2017-01-07,,True
196,CLN000196,14,GP Partner,Radiology,Band 7,F,White,0.75,2010-10-25,,True
197,CLN000197,14,Salaried GP,Emergency Medicine,ST3,F,Asian,0.42,2019-12-20,,True
198,CLN000198,14,Healthcare Assistant,Emergency Medicine,ST3,F,White,0.93,2015-11-23,2016-01-23,False
199,CLN000199,14,Salaried GP,Primary Care,GP Partner,M,White,0.87,2013-09-03,,True
200,CLN000200,14,Salaried GP,Primary Care,Band 5,M,White,0.94,2019-02-02,,True
201,CLN000201,14,GP Partner,Mental Health,Band 6,F,White,0.44,2013-10-24,,True
202,CLN000202,14,Practice Nurse,Mental Health,Consultant,M,Other,0.79,2020-10-25,,True
203,CLN000203,14,GP Partner,Physiotherapy,Band 8a,M,White,0.82,2014-02-02,,True
204,CLN000204,14,Salaried GP,Geriatrics,ST3,F,White,0.72,2019-08-26,,True
205,CLN000205,15,Salaried GP,General Medicine,ST3,F,White,0.96,2014-07-21,,True
206,CLN000206,15,Practice Nurse,Radiology,Band 5,M,Mixed,0.83,2013-04-10,,True
207,CLN000207,15,Salaried GP,Mental Health,GP Partner,M,White,0.7,2022-02-02,,True
208,CLN000208,15,GP Partner,Geriatrics,ST3,F,White,0.74,2009-03-20,,True
209,CLN000209,15,GP Partner,Physiotherapy,Band 7,M,White,0.73,2015-10-12,,True
210,CLN000210,15,GP Partner,Diabetes,Band 7,F,White,0.53,2020-01-27,,True
211,CLN000211,15,Healthcare Assistant,Mental Health,Band 6,F,White,0.59,2011-04-03,,True
212,CLN000212,15,GP Partner,Primary Care,Band 6,M,Black,0.92,2008-12-15,,True
213,CLN000213,15,Practice Nurse,Mental Health,GP Partner,F,Other,0.54,2022-08-14,,True
214,CLN000214,15,GP Partner,Emergency Medicine,ST3,F,White,0.81,2013-04-03,,True
215,CLN000215,16,Practice Nurse,Geriatrics,Band 8a,M,White,0.67,2022-02-24,,True
216,CLN000216,16,Salaried GP,Emergency Medicine,GP Partner,M,White,0.93,2013-10-26,,True
217,CLN000217,16,Healthcare Assistant,Diabetes,Consultant,M,Asian,0.93,2022-02-07,,True
218,CLN000218,16,Salaried GP,Mental Health,Band 5,F,White,0.63,2022-02-11,2023-01-09,False
219,CLN000219,16,GP Partner,Respiratory,Band 6,F,Asian,0.54,2009-08-07,,True
220,CLN000220,16,Healthcare Assistant,Mental Health,ST3,F,White,0.63,2008-06-13,,True
221,CLN000221,16,Practice Nurse,Geriatrics,GP Partner,F,Black,0.65,2019-10-01,,True
222,CLN000222,16,GP Partner,General Medicine,Band 7,M,Other,0.94,2008-08-19,,True
223,CLN000223,16,Healthcare Assistant,Geriatrics,ST3,M,Black,0.7,2021-08-23,,True
224,CLN000224,16,Salaried GP,General Medicine,Band 8a,F,White,0.63,2010-11-09,,True
225,CLN000225,17,Healthcare Assistant,Physiotherapy,Consultant,F,White,0.9,2016-09-22,,True
226,CLN000226,17,Practice Nurse,Physiotherapy,Band 7,M,White,0.91,2011-05-08,,True
227,CLN000227,17,Healthcare Assistant,Physiotherapy,Band 5,F,Asian,0.92,2017-05-16,,True
228,CLN000228,17,Healthcare Assistant,Cardiology,Consultant,F,White,0.62,2010-12-25,,True
229,CLN000229,17,Practice Nurse,General Medicine,Band 7,F,White,0.76,2009-09-20,,True
230,CLN000230,17,Healthcare Assistant,Primary Care,Band 6,M,White,0.6,2014-09-01,2017-05-21,False
231,CLN000231,17,Practice Nurse,General Medicine,Band 6,F,Asian,0.99,2010-04-12,,True
232,CLN000232,17,Healthcare Assistant,Cardiology,Consultant,M,Black,0.75,2013-08-02,,True
233,CLN000233,17,Salaried GP,Mental Health,ST3,M,White,0.45,2015-10-11,,True
234,CLN000234,17,Practice Nurse,Respiratory,GP Partner,M,White,0.85,2021-06-18,,True
235,CLN000235,18,Psychologist,Respiratory,ST3,F,White,0.85,2013-09-04,,True
236,CLN000236,18,Occupational Therapist,Respiratory,Band 8a,F,White,0.93,2018-08-18,2021-06-07,False
237,CLN000237,18,Community Nurse,Radiology,Band 8a,M,White,0.97,2009-05-15,,True
238,CLN000238,18,Occupational Therapist,Cardiology,ST3,M,White,0.79,2011-05-01,,True
239,CLN000239,18,Psychologist,Primary Care,Band 5,F,Mixed,0.57,2008-11-23,,True
240,CLN000240,18,Physiotherapist,Primary Care,Consultant,M,White,0.42,2021-11-02,,True
241,CLN000241,18,Psychologist,Cardiology,Band 7,M,White,0.6,2013-10-17,,True
242,CLN000242,18,Physiotherapist,Emergency Medicine,Consultant,M,White,0.64,2013-10-22,,True
243,CLN000243,18,Physiotherapist,Mental Health,Band 7,M,White,0.96,2010-07-15,,True
244,CLN000244,18,Community Nurse,Physiotherapy,Band 7,M,White,0.67,2015-06-18,,True
245,CLN000245,18,Community Nurse,Radiology,Band 8a,F,White,0.55,2017-02-02,,True
246,CLN000246,18,Psychologist,Primary Care,Band 5,F,Asian,0.76,2012-01-07,,True
247,CLN000247,18,Community Nurse,Diabetes,Band 8a,F,White,0.88,2017-09-15,,True
248,CLN000248,18,Community Nurse,Emergency Medicine,Consultant,F,White,0.8,2022-07-03,,True
249,CLN000249,18,Physiotherapist,General Medicine,Band 6,F,Black,0.95,2014-05-02,,True
250,CLN000250,18,Physiotherapist,Emergency Medicine,Band 8a,F,Black,0.49,2021-10-02,,True
251,CLN000251,18,Occupational Therapist,Respiratory,Band 8a,M,White,0.88,2018-06-21,,True
252,CLN000252,19,Physiotherapist,Physiotherapy,Consultant,M,Black,0.97,2016-10-25,,True
253,CLN000253,19,Psychologist,Radiology,ST3,M,White,0.73,2017-09-22,,True
254,CLN000254,19,Occupational Therapist,General Medicine,Band 8a,M,White,0.98,2010-03-12,,True
255,CLN000255,19,Community Nurse,Physiotherapy,Consultant,F,White,0.96,2016-06-20,2017-06-26,False
256,CLN000256,19,Community Nurse,General Medicine,Band 6,M,White,0.88,2009-12-23,,True
257,CLN000257,19,Community Nurse,Primary Care,Band 5,M,Other,0.48,2014-04-26,,True
258,CLN000258,19,Physiotherapist,General Medicine,GP Partner,F,White,0.91,2019-10-18,2022-12-06,False
259,CLN000259,19,Occupational Therapist,Physiotherapy,Band 8a,F,White,0.4,2013-03-07,,True
260,CLN000260,19,Community Nurse,Radiology,GP Partner,F,White,0.74,2016-07-22,,True
261,CLN000261,19,Occupational Therapist,Mental Health,Band 5,M,White,0.52,2022-10-19,,True
262,CLN000262,19,Psychologist,Mental Health,Band 5,F,Other,0.6,2012-02-18,,True
263,CLN000263,19,Physiotherapist,Physiotherapy,Band 8a,M,Asian,0.81,2008-04-21,2010-12-22,False
264,CLN000264,19,Community Nurse,Radiology,Band 5,F,White,0.5,2020-05-13,,True
265,CLN000265,19,Psychologist,Cardiology,Consultant,F,White,0.73,2014-07-04,,True
266,CLN000266,19,Occupational Therapist,Radiology,Band 8a,M,White,0.77,2008-02-04,2014-04-09,False
267,CLN000267,19,Community Nurse,Geriatrics,Band 7,M,White,0.85,2019-02-08,,True
268,CLN000268,19,Occupational Therapist,Respiratory,Band 7,F,Asian,0.74,2022-03-20,,True
269,CLN000269,20,Physiotherapist,Geriatrics,Band 7,F,White,0.81,2019-05-22,,True
270,CLN000270,20,Community Nurse,Radiology,Band 8a,M,White,0.87,2015-04-02,,True
271,CLN000271,20,Psychologist,Physiotherapy,GP Partner,F,White,0.73,2015-11-23,,True
272,CLN000272,20,Community Nurse,Physiotherapy,GP Partner,M,White,0.5,2013-08-23,2017-12-16,False
273,CLN000273,20,Physiotherapist,Geriatrics,Consultant,F,White,0.73,2008-12-13,,True
274,CLN000274,20,Physiotherapist,Primary Care,Consultant,F,Black,0.94,2009-01-12,2018-12-03,False
275,CLN000275,20,Occupational Therapist,Respiratory,GP Partner,F,Other,0.85,2014-12-07,,True
276,CLN000276,20,Occupational Therapist,Emergency Medicine,Band 6,F,Asian,0.68,2011-08-06,,True
277,CLN000277,20,Physiotherapist,Diabetes,Band 5,M,White,0.71,2017-12-25,,True
278,CLN000278,20,Physiotherapist,Primary Care,Band 6,F,Other,0.64,2016-09-03,2022-01-26,False
279,CLN000279,20,Occupational Therapist,Mental Health,Band 6,F,White,0.74,2012-06-19,,True
280,CLN000280,20,Psychologist,Cardiology,Band 6,M,White,0.64,2018-08-24,2022-09-06,False
281,CLN000281,20,Community Nurse,Radiology,ST3,F,White,0.66,2013-08-16,,True
282,CLN000282,20,Occupational Therapist,Mental Health,Consultant,F,White,0.71,2012-03-24,2023-05-01,False
283,CLN000283,20,Physiotherapist,Diabetes,Consultant,F,White,0.8,2019-09-03,,True
284,CLN000284,20,Community Nurse,Mental Health,GP Partner,M,White,0.56,2008-07-20,,True
285,CLN000285,20,Community Nurse,Diabetes,Band 8a,F,White,0.47,2019-11-19,,True
286,CLN000286,21,Community Nurse,Mental Health,ST3,M,Black,0.45,2022-01-15,2023-12-09,False
287,CLN000287,21,Occupational Therapist,Geriatrics,Band 7,F,White,0.95,2015-11-23,,True
